instru,curr date,dte,premium,ce entry,pe entry,strangle entry,strangle exit,pnl,atm diff,vix
FINNIFTY,2023-04-28,1,10,7.85,9.95,17.8,14.6,0.8,50,10.95
FINNIFTY,2023-04-28,1,15,17.35,14.8,32.2,34.699999999999996,-5.7,50,10.95
FINNIFTY,2023-04-28,1,20,17.35,23.5,40.8,36.65,-0.1,50,10.95
FINNIFTY,2023-04-28,1,25,17.35,23.5,40.8,36.65,-0.1,50,10.95
FINNIFTY,2023-03-13,1,10,9.4,10.7,20.1,8.3,9.5,50,16.22
FINNIFTY,2023-03-13,1,15,14.6,16.55,31.2,13.850000000000001,14.0,50,16.22
FINNIFTY,2023-03-13,1,20,22.55,16.55,39.1,21.35,13.8,50,16.22
FINNIFTY,2023-03-13,1,25,22.55,24.9,47.4,24.05,18.4,50,16.22
FINNIFTY,2023-01-30,1,10,8.35,10.05,18.4,18.15,-1.9,0,17.71
FINNIFTY,2023-01-30,1,15,17.6,16.9,34.5,38.4,-5.4,0,17.71
FINNIFTY,2023-01-30,1,20,17.6,22.85,40.4,46.35,-6.6,0,17.71
FINNIFTY,2023-01-30,1,25,25.85,22.85,48.7,54.849999999999994,-7.2,0,17.71
FINNIFTY,2023-02-27,1,10,10.65,11.55,22.2,18.5,2.3,50,13.88
FINNIFTY,2023-02-27,1,15,10.65,11.55,22.2,18.5,2.3,50,13.88
FINNIFTY,2023-02-27,1,20,20.5,19.0,39.5,35.85,1.7,50,13.88
FINNIFTY,2023-02-27,1,25,20.5,19.0,39.5,35.85,1.7,50,13.88
FINNIFTY,2023-01-02,1,10,11.55,12.05,23.6,13.899999999999999,7.3,0,14.69
FINNIFTY,2023-01-02,1,15,11.55,12.05,23.6,13.899999999999999,7.3,0,14.69
FINNIFTY,2023-01-02,1,20,21.35,20.7,42.0,29.9,9.0,0,14.69
FINNIFTY,2023-01-02,1,25,21.35,20.7,42.0,29.9,9.0,0,14.69
FINNIFTY,2023-05-08,1,10,7.4,10.05,17.5,5.95,9.2,50,12.64
FINNIFTY,2023-05-08,1,15,13.9,17.15,31.0,13.8,14.1,50,12.64
FINNIFTY,2023-05-08,1,20,25.15,17.15,42.3,26.7,12.1,50,12.64
FINNIFTY,2023-05-08,1,25,25.15,28.8,54.0,31.7,17.8,50,12.64
FINNIFTY,2023-02-06,1,10,12.8,8.55,21.4,13.35,5.8,100,14.69
FINNIFTY,2023-02-06,1,15,12.8,13.2,26.0,13.95,9.5,100,14.69
FINNIFTY,2023-02-06,1,20,22.25,20.1,42.4,27.2,11.2,100,14.69
FINNIFTY,2023-02-06,1,25,22.25,20.1,42.4,27.2,11.2,100,14.69
FINNIFTY,2023-04-10,1,10,10.2,7.7,17.9,36.35,-19.6,100,12.27
FINNIFTY,2023-04-10,1,15,10.2,15.55,25.8,36.9,-12.6,100,12.27
FINNIFTY,2023-04-10,1,20,21.25,15.55,36.8,67.7,-32.1,100,12.27
FINNIFTY,2023-04-10,1,25,21.25,28.95,50.2,69.4,-21.1,100,12.27
FINNIFTY,2023-04-24,1,10,11.8,8.95,20.8,11.899999999999999,7.1,-50,11.67
FINNIFTY,2023-04-24,1,15,11.8,14.95,26.8,18.9,5.9,-50,11.67
FINNIFTY,2023-04-24,1,20,25.05,14.95,40.0,27.85,9.9,-50,11.67
FINNIFTY,2023-04-24,1,25,25.05,25.75,50.8,41.1,7.0,-50,11.67
FINNIFTY,2023-03-03,1,10,8.9,10.05,19.0,48.0,-30.0,150,12.18
FINNIFTY,2023-03-03,1,15,18.9,16.7,35.6,81.69999999999999,-46.2,150,12.18
FINNIFTY,2023-03-03,1,20,18.9,16.7,35.6,81.69999999999999,-46.2,150,12.18
