instru,curr date,dte,#10,#10,#15,#15,#20,#20,#25,#25
FINNIFTY,2023-04-26,3,-1.0,,0.0,,0.0,,0.0,
FINNIFTY,2023-03-09,3,-32.7,,-38.9,,-44.5,,-47.2,
FINNIFTY,2023-01-25,3,-38.6,,-49.1,,-51.6,,-54.0,
FINNIFTY,2023-02-23,3,3.7,,5.3,,7.8,,8.8,
FINNIFTY,2022-12-29,3,0.1,,1.1,,3.0,,3.7,
FINNIFTY,2023-05-04,3,-4.9,,-13.0,,-22.4,,-26.2,
FINNIFTY,2023-02-02,3,6.0,,8.6,,8.9,,8.0,
FINNIFTY,2023-04-05,3,3.4,,4.7,,6.1,,8.0,
FINNIFTY,2023-04-20,3,2.8,,5.2,,5.7,,3.5,
FINNIFTY,2023-03-01,3,2.1,,2.8,,4.5,,3.7,
FINNIFTY,2023-01-12,3,7.0,,7.2,,8.2,,10.0,
FINNIFTY,2023-04-12,3,4.0,,5.5,,6.5,,7.4,
FINNIFTY,2023-01-05,3,3.5,,4.6,,6.9,,8.5,
FINNIFTY,2023-02-09,3,4.8,,6.8,,8.0,,9.3,
FINNIFTY,2023-03-23,3,1.2,,0.0,,1.3,,2.1,
FINNIFTY,2023-02-16,3,0.1,,0.7,,2.0,,-2.1,
FINNIFTY,2023-01-19,3,-1.1,,0.8,,2.2,,2.6,
FINNIFTY,2023-03-16,3,-1.5,,-3.5,,-4.8,,-5.8,
