instru,expiry,time,sl,ce entry,ce pnl,ce sl num,ce reentries,pe entry,pe pnl,pe sl num,pe reentries
BANKNIFTY,2023-11-30 00:00:00,10 10,40,25.8,15.3,1,1,60.0,36.0,1,1
BANKNIFTY,2024-02-07 00:00:00,10 10,40,32.6,32.6,0,0,62.25,-49.8,2,1
BANKNIFTY,2024-02-21 00:00:00,10 10,40,57.7,57.6,0,0,58.25,-46.6,2,1
BANKNIFTY,2024-04-10 00:00:00,10 10,40,56.35,-45.1,2,1,44.9,44.8,0,0
BANKNIFTY,2023-11-22 00:00:00,10 10,40,22.95,22.9,0,0,17.75,10.6,1,1
BANKNIFTY,2023-11-15 00:00:00,10 10,40,14.35,14.3,0,0,30.65,-24.5,2,1
BANKNIFTY,2024-08-14 00:00:00,10 10,40,46.7,-37.4,2,1,34.3,34.2,0,0
BANKNIFTY,2024-01-25 00:00:00,10 10,40,84.75,84.3,0,0,98.15,-78.5,2,1
BANKNIFTY,2024-07-10 00:00:00,10 10,40,39.75,39.6,0,0,63.25,-50.6,2,1
BANKNIFTY,2023-11-01 00:00:00,10 10,40,25.0,25.0,0,0,42.0,41.9,0,0
BANKNIFTY,2024-06-26 00:00:00,10 10,40,123.85,-99.1,2,1,99.45,99.3,0,0
BANKNIFTY,2024-03-06 00:00:00,10 10,40,85.0,50.9,1,1,106.5,106.4,0,0
BANKNIFTY,2024-06-19 00:00:00,10 10,40,95.2,-76.2,2,1,102.15,-81.7,2,1
BANKNIFTY,2024-02-29 00:00:00,10 10,40,129.75,-103.8,2,1,150.0,150.0,0,0
BANKNIFTY,2024-04-03 00:00:00,10 10,40,30.8,-24.6,2,1,29.95,29.9,0,0
BANKNIFTY,2024-06-05 00:00:00,10 10,40,207.2,-165.8,2,1,228.65,137.1,1,1
BANKNIFTY,2024-05-29 00:00:00,10 10,40,50.6,50.4,0,0,62.65,-50.1,2,1
BANKNIFTY,2024-03-20 00:00:00,10 10,40,54.05,-43.2,2,1,79.25,-63.4,2,1
BANKNIFTY,2024-02-14 00:00:00,10 10,40,47.3,-37.8,2,1,64.15,64.0,0,0
BANKNIFTY,2023-09-13 00:00:00,10 10,40,26.05,-10.4,1,0,39.9,39.7,0,0
BANKNIFTY,2023-10-26 00:00:00,10 10,40,51.25,51.2,0,0,43.6,-34.9,2,1
BANKNIFTY,2023-10-11 00:00:00,10 10,40,31.65,31.6,0,0,25.55,15.3,1,1
BANKNIFTY,2023-12-20 00:00:00,10 10,40,24.1,24.0,0,0,36.0,-28.8,2,1
BANKNIFTY,2024-08-21 00:00:00,10 10,40,40.95,-32.8,2,1,45.35,-36.3,2,1
BANKNIFTY,2024-05-08 00:00:00,10 10,40,61.1,61.0,0,0,61.7,-49.4,2,1
BANKNIFTY,2024-08-07 00:00:00,10 10,40,61.5,-49.2,2,1,113.8,113.7,0,0
BANKNIFTY,2024-07-03 00:00:00,10 10,40,117.9,70.6,1,1,90.65,90.6,0,0
BANKNIFTY,2023-12-06 00:00:00,10 10,40,43.1,25.8,1,1,56.15,56.1,0,0
BANKNIFTY,2024-01-17 00:00:00,10 10,40,60.65,60.5,0,0,104.85,-41.9,1,0
BANKNIFTY,2024-06-12 00:00:00,10 10,40,117.3,117.2,0,0,70.85,39.7,1,1
BANKNIFTY,2024-01-31 00:00:00,10 10,40,105.3,-84.2,2,1,109.1,109.0,0,0
BANKNIFTY,2024-03-27 00:00:00,10 10,40,53.95,53.9,0,0,42.85,-34.3,2,1
