instru,expiry,time,sl,ce entry,ce pnl,ce sl num,ce reentries,pe entry,pe pnl,pe sl num,pe reentries
BANKNIFTY,2023-11-30 00:00:00,10 10,40,72.65,-58.1,2,1,145.8,87.4,1,1
BANKNIFTY,2024-02-07 00:00:00,10 10,40,78.05,78.0,0,0,139.7,-111.8,2,1
BANKNIFTY,2024-02-21 00:00:00,10 10,40,122.75,122.7,0,0,131.9,-105.5,2,1
BANKNIFTY,2024-04-10 00:00:00,10 10,40,146.55,-117.2,2,1,93.75,93.6,0,0
BANKNIFTY,2023-11-22 00:00:00,10 10,40,77.7,77.6,0,0,79.15,-31.7,1,0
BANKNIFTY,2023-11-15 00:00:00,10 10,40,54.65,54.6,0,0,111.4,-30.6,1,1
BANKNIFTY,2024-08-14 00:00:00,10 10,40,113.65,-90.9,2,1,88.5,88.4,0,0
BANKNIFTY,2024-01-25 00:00:00,10 10,40,171.25,105.9,0,0,171.4,-137.1,2,1
BANKNIFTY,2024-07-10 00:00:00,10 10,40,89.8,89.6,0,0,150.1,-21.2,1,1
BANKNIFTY,2023-11-01 00:00:00,10 10,40,68.0,35.0,1,1,117.5,117.2,0,0
BANKNIFTY,2024-06-26 00:00:00,10 10,40,195.9,-156.7,2,1,180.5,180.4,0,0
BANKNIFTY,2024-03-06 00:00:00,10 10,40,175.65,105.3,1,1,173.4,138.6,0,0
BANKNIFTY,2024-06-19 00:00:00,10 10,40,183.75,-147.0,2,1,175.25,104.6,1,1
BANKNIFTY,2024-02-29 00:00:00,10 10,40,210.35,-84.1,1,0,237.85,237.8,0,0
BANKNIFTY,2024-04-03 00:00:00,10 10,40,76.5,-30.6,1,0,103.1,103.0,0,0
BANKNIFTY,2024-06-05 00:00:00,10 10,40,287.5,-115.0,1,0,320.7,192.3,1,1
BANKNIFTY,2024-05-29 00:00:00,10 10,40,122.5,122.4,0,0,131.8,-105.4,2,1
BANKNIFTY,2024-03-20 00:00:00,10 10,40,121.75,-97.4,2,1,158.45,-126.8,2,1
BANKNIFTY,2024-02-14 00:00:00,10 10,40,109.6,-43.8,1,0,134.7,134.6,0,0
BANKNIFTY,2023-09-13 00:00:00,10 10,40,106.25,-42.5,1,0,98.9,98.8,0,0
BANKNIFTY,2023-10-26 00:00:00,10 10,40,111.1,111.0,0,0,123.0,-98.4,2,1
BANKNIFTY,2023-10-11 00:00:00,10 10,40,85.75,73.8,0,0,96.7,57.9,1,1
BANKNIFTY,2023-12-20 00:00:00,10 10,40,72.65,72.6,0,0,105.0,-84.0,2,1
BANKNIFTY,2024-08-21 00:00:00,10 10,40,90.7,-72.6,2,1,128.25,-102.6,2,1
BANKNIFTY,2024-05-08 00:00:00,10 10,40,116.7,116.6,0,0,131.65,-105.3,2,1
BANKNIFTY,2024-08-07 00:00:00,10 10,40,125.0,-100.0,2,1,201.5,201.4,0,0
BANKNIFTY,2024-07-03 00:00:00,10 10,40,208.65,208.6,0,0,163.0,154.5,0,0
BANKNIFTY,2023-12-06 00:00:00,10 10,40,105.75,-84.6,2,1,130.05,130.0,0,0
BANKNIFTY,2024-01-17 00:00:00,10 10,40,121.5,121.4,0,0,200.95,-80.4,1,0
BANKNIFTY,2024-06-12 00:00:00,10 10,40,213.5,213.4,0,0,132.55,-106.0,2,1
BANKNIFTY,2024-01-31 00:00:00,10 10,40,201.25,-161.0,2,1,177.3,177.2,0,0
BANKNIFTY,2024-03-27 00:00:00,10 10,40,133.25,133.2,0,0,99.15,-51.7,1,1
BANKNIFTY,2024-07-31 00:00:00,10 10,40,140.95,29.5,1,1,108.1,-86.5,2,1
BANKNIFTY,2024-01-03 00:00:00,10 10,40,68.9,-55.1,2,1,116.05,116.0,0,0
BANKNIFTY,2023-11-08 00:00:00,10 10,40,91.35,-1.2,1,1,83.1,-66.5,2,1
BANKNIFTY,2024-07-24 00:00:00,10 10,40,244.75,244.6,0,0,204.15,-81.7,1,0
BANKNIFTY,2024-04-16 00:00:00,10 10,40,130.9,130.8,0,0,76.6,-61.3,2,1
BANKNIFTY,2024-05-22 00:00:00,10 10,40,129.2,128.8,0,0,173.8,-139.0,2,1
BANKNIFTY,2024-05-15 00:00:00,10 10,40,122.15,122.0,0,0,128.65,-102.9,2,1
BANKNIFTY,2024-03-13 00:00:00,10 10,40,126.1,75.6,1,1,129.6,-51.8,1,0
BANKNIFTY,2023-12-28 00:00:00,10 10,40,177.05,67.1,0,0,126.8,126.7,0,0
BANKNIFTY,2023-09-20 00:00:00,10 10,40,73.95,73.9,0,0,138.4,-55.4,1,0
BANKNIFTY,2023-09-06 00:00:00,10 10,40,53.75,32.0,1,1,123.45,-12.9,1,1
BANKNIFTY,2024-04-30 00:00:00,10 10,40,151.05,-120.8,2,1,142.7,37.3,0,0
BANKNIFTY,2023-10-18 00:00:00,10 10,40,59.5,59.4,0,0,119.85,-47.9,1,0
BANKNIFTY,2023-09-28 00:00:00,10 10,40,95.0,94.8,0,0,151.2,-60.5,1,0
BANKNIFTY,2023-10-04 00:00:00,10 10,40,97.2,-5.1,1,1,107.95,107.9,0,0
BANKNIFTY,2024-08-28 00:00:00,10 10,40,75.65,0.4,1,1,94.6,94.5,0,0
BANKNIFTY,2024-04-24 00:00:00,10 10,40,75.75,75.7,0,0,112.3,102.6,0,0
BANKNIFTY,2023-12-13 00:00:00,10 10,40,118.65,-94.9,2,1,44.25,44.2,0,0
BANKNIFTY,2024-07-16 00:00:00,10 10,40,134.0,133.7,0,0,127.55,124.2,0,0
BANKNIFTY,2024-01-10 00:00:00,10 10,40,95.7,-76.6,2,1,122.0,-97.6,2,1
