instru,expiry,time,sl,ce entry,ce pnl,ce sl num,ce reentries,pe entry,pe pnl,pe sl num,pe reentries
FINNIFTY,2024-01-02 00:00:00,10 10,40,12.05,12.0,0,0,10.4,6.2,1,1
FINNIFTY,2023-05-02 00:00:00,10 10,40,2.45,2.4,0,0,7.5,7.4,0,0
FINNIFTY,2023-03-14 00:00:00,10 10,40,11.5,-9.2,2,1,28.35,-22.7,2,1
FINNIFTY,2023-09-26 00:00:00,10 10,40,12.85,12.8,0,0,7.0,7.0,0,0
FINNIFTY,2023-01-31 00:00:00,10 10,40,43.45,-34.8,2,1,41.7,41.7,0,0
FINNIFTY,2024-07-09 00:00:00,10 10,40,14.05,-11.2,2,1,8.95,8.9,0,0
FINNIFTY,2023-02-28 00:00:00,10 10,40,14.8,8.8,1,1,13.85,-11.1,2,1
FINNIFTY,2024-07-30 00:00:00,10 10,40,33.6,20.1,1,1,34.0,33.9,0,0
FINNIFTY,2024-04-09 00:00:00,10 10,40,7.55,-6.0,2,1,12.05,12.0,0,0
FINNIFTY,2024-01-16 00:00:00,10 10,40,8.35,5.0,1,1,13.55,-10.8,2,1
FINNIFTY,2023-01-03 00:00:00,10 10,40,11.3,6.7,1,1,11.75,7.0,1,1
FINNIFTY,2024-03-26 00:00:00,10 10,40,12.7,12.6,0,0,15.85,15.8,0,0
FINNIFTY,2023-05-09 00:00:00,10 10,40,10.3,6.1,1,1,5.6,-4.5,2,1
FINNIFTY,2024-02-13 00:00:00,10 10,40,33.35,-26.7,2,1,18.35,-14.7,2,1
FINNIFTY,2023-12-26 00:00:00,10 10,40,8.05,-6.4,2,1,8.7,-7.0,2,1
FINNIFTY,2024-05-21 00:00:00,10 10,40,11.85,7.1,1,1,17.3,17.2,0,0
FINNIFTY,2024-01-30 00:00:00,10 10,40,25.15,25.1,0,0,25.0,25.0,0,0
FINNIFTY,2024-05-07 00:00:00,10 10,40,35.25,35.2,0,0,37.6,37.6,0,0
FINNIFTY,2023-09-05 00:00:00,10 10,40,3.35,3.3,0,0,4.25,-3.4,2,1
FINNIFTY,2023-02-07 00:00:00,10 10,40,15.55,9.3,1,1,10.3,6.1,1,1
FINNIFTY,2023-04-11 00:00:00,10 10,40,2.55,-2.0,2,1,8.6,8.5,0,0
FINNIFTY,2024-06-25 00:00:00,10 10,40,23.4,-18.7,2,1,18.85,18.8,0,0
FINNIFTY,2023-05-30 00:00:00,10 10,40,4.0,4.0,0,0,5.6,-4.5,2,1
FINNIFTY,2023-08-01 00:00:00,10 10,40,18.8,18.8,0,0,17.75,-14.2,2,1
FINNIFTY,2023-06-06 00:00:00,10 10,40,2.35,2.3,0,0,5.35,3.2,1,1
FINNIFTY,2023-04-25 00:00:00,10 10,40,9.55,9.5,0,0,6.15,3.6,1,1
FINNIFTY,2023-03-06 00:00:00,10 10,40,3.6,3.6,0,0,8.25,-6.6,2,1
FINNIFTY,2023-12-12 00:00:00,10 10,40,2.85,2.8,0,0,4.4,-3.5,2,1
FINNIFTY,2023-06-20 00:00:00,10 10,40,4.7,-3.8,2,1,6.75,4.0,1,1
FINNIFTY,2023-07-25 00:00:00,10 10,40,23.0,23.0,0,0,27.0,-21.6,2,1
FINNIFTY,2023-10-23 00:00:00,10 10,40,3.3,1.9,1,1,5.55,-4.4,2,1
FINNIFTY,2024-04-30 00:00:00,10 10,40,33.7,-27.0,2,1,17.55,17.4,0,0
FINNIFTY,2023-01-17 00:00:00,10 10,40,10.95,10.9,0,0,19.75,11.7,1,1
FINNIFTY,2024-08-13 00:00:00,10 10,40,19.9,19.8,0,0,20.6,-16.5,2,1
FINNIFTY,2023-07-11 00:00:00,10 10,40,18.55,11.1,1,1,10.9,-8.7,2,1
FINNIFTY,2024-05-14 00:00:00,10 10,40,23.45,-18.8,2,1,30.25,30.2,0,0
FINNIFTY,2024-06-11 00:00:00,10 10,40,29.1,29.0,0,0,15.35,9.2,1,1
FINNIFTY,2024-01-23 00:00:00,10 10,40,13.75,13.6,0,0,30.45,-24.4,2,1
FINNIFTY,2023-04-18 00:00:00,10 10,40,8.35,8.3,0,0,7.5,-6.0,2,1
FINNIFTY,2023-01-10 00:00:00,10 10,40,12.7,12.6,0,0,16.5,-6.6,1,0
FINNIFTY,2024-03-12 00:00:00,10 10,40,15.25,15.2,0,0,19.55,-15.6,2,1
FINNIFTY,2023-08-22 00:00:00,10 10,40,2.95,1.7,1,1,10.5,10.3,0,0
FINNIFTY,2023-08-29 00:00:00,10 10,40,3.35,3.3,0,0,5.4,3.2,1,1
FINNIFTY,2023-02-14 00:00:00,10 10,40,8.05,-3.2,1,0,8.05,8.0,0,0
FINNIFTY,2023-04-03 00:00:00,10 10,40,7.3,7.2,0,0,14.5,14.4,0,0
FINNIFTY,2023-10-31 00:00:00,10 10,40,6.25,6.2,0,0,9.9,5.9,1,1
FINNIFTY,2023-11-28 00:00:00,10 10,40,2.9,-2.3,2,1,2.9,2.8,0,0
FINNIFTY,2023-05-23 00:00:00,10 10,40,3.1,1.8,1,1,13.0,13.0,0,0
FINNIFTY,2024-04-23 00:00:00,10 10,40,16.6,16.6,0,0,15.35,-12.3,2,1
FINNIFTY,2023-10-03 00:00:00,10 10,40,4.9,4.9,0,0,7.3,7.2,0,0
FINNIFTY,2023-09-18 00:00:00,10 10,40,4.1,4.0,0,0,10.3,10.2,0,0
FINNIFTY,2023-12-05 00:00:00,10 10,40,16.5,-13.2,2,1,7.5,-6.0,2,1
FINNIFTY,2023-12-19 00:00:00,10 10,40,8.8,-7.0,2,1,8.55,8.5,0,0
FINNIFTY,2024-03-19 00:00:00,10 10,40,16.05,-12.8,2,1,13.25,13.2,0,0
FINNIFTY,2024-02-27 00:00:00,10 10,40,18.9,-15.1,2,1,26.75,26.7,0,0
FINNIFTY,2023-03-28 00:00:00,10 10,40,12.9,7.7,1,1,16.65,9.9,1,1
FINNIFTY,2024-02-06 00:00:00,10 10,40,18.4,-14.7,2,1,15.4,9.2,1,1
FINNIFTY,2023-06-27 00:00:00,10 10,40,6.6,-2.6,1,0,5.5,5.4,0,0
FINNIFTY,2024-03-05 00:00:00,10 10,40,10.7,-8.6,2,1,12.8,-10.2,2,1
FINNIFTY,2023-02-21 00:00:00,10 10,40,12.55,-10.0,2,1,11.45,6.8,1,1
FINNIFTY,2024-02-20 00:00:00,10 10,40,34.8,32.8,0,0,30.15,30.0,0,0
FINNIFTY,2023-10-17 00:00:00,10 10,40,3.9,3.8,0,0,7.2,7.2,0,0
FINNIFTY,2024-07-23 00:00:00,10 10,40,157.2,157.1,0,0,186.1,-148.9,2,1
FINNIFTY,2023-01-24 00:00:00,10 10,40,5.8,5.8,0,0,11.3,-9.0,2,1
FINNIFTY,2023-08-08 00:00:00,10 10,40,15.05,9.0,1,1,16.25,16.2,0,0
FINNIFTY,2023-05-16 00:00:00,10 10,40,4.8,4.8,0,0,8.3,-6.6,2,1
FINNIFTY,2023-10-10 00:00:00,10 10,40,2.65,-2.1,2,1,5.75,3.4,1,1
FINNIFTY,2023-06-13 00:00:00,10 10,40,3.3,3.2,0,0,3.55,-2.8,2,1
FINNIFTY,2024-01-09 00:00:00,10 10,40,6.9,-5.5,2,1,8.45,-6.8,2,1
FINNIFTY,2024-04-16 00:00:00,10 10,40,14.85,14.8,0,0,10.35,6.2,1,1
FINNIFTY,2023-11-13 00:00:00,10 10,40,5.5,-4.4,2,1,3.6,2.1,1,1
FINNIFTY,2023-08-14 00:00:00,10 10,40,11.8,-9.4,2,1,11.45,11.4,0,0
FINNIFTY,2024-08-20 00:00:00,10 10,40,13.55,-10.8,2,1,16.85,16.8,0,0
FINNIFTY,2023-03-21 00:00:00,10 10,40,20.7,-16.6,2,1,21.75,21.7,0,0
FINNIFTY,2024-08-06 00:00:00,10 10,40,29.6,29.5,0,0,49.2,-39.4,2,1
FINNIFTY,2024-08-27 00:00:00,10 10,40,32.95,-26.4,2,1,18.85,-15.1,2,1
FINNIFTY,2024-07-02 00:00:00,10 10,40,26.55,26.5,0,0,40.3,-32.2,2,1
FINNIFTY,2024-06-18 00:00:00,10 10,40,13.15,13.1,0,0,12.65,-10.1,2,1
FINNIFTY,2023-07-18 00:00:00,10 10,40,20.7,12.4,1,1,34.6,-27.7,2,1
FINNIFTY,2024-06-04 00:00:00,10 10,40,226.75,226.7,0,0,252.75,-101.1,1,0
FINNIFTY,2023-11-07 00:00:00,10 10,40,3.65,-2.9,2,1,8.95,5.3,1,1
FINNIFTY,2023-07-04 00:00:00,10 10,40,14.8,-11.8,2,1,23.75,23.6,0,0
FINNIFTY,2024-05-28 00:00:00,10 10,40,18.0,10.8,1,1,23.8,23.8,0,0
FINNIFTY,2024-04-02 00:00:00,10 10,40,12.25,-9.8,2,1,16.15,16.0,0,0
FINNIFTY,2023-11-21 00:00:00,10 10,40,5.1,3.0,1,1,5.6,5.6,0,0
FINNIFTY,2024-07-16 00:00:00,10 10,40,25.6,25.5,0,0,20.5,20.4,0,0
FINNIFTY,2023-09-12 00:00:00,10 10,40,9.0,9.0,0,0,8.8,-7.0,2,1
