instru,expiry,time,sl,ce entry,ce pnl,ce sl num,ce reentries,pe entry,pe pnl,pe sl num,pe reentries
FINNIFTY,2024-01-02 00:00:00,10 10,40,49.05,49.0,0,0,32.95,16.1,1,1
FINNIFTY,2023-05-02 00:00:00,10 10,40,27.65,27.6,0,0,36.9,-29.5,2,1
FINNIFTY,2023-03-14 00:00:00,10 10,40,42.55,25.4,1,1,66.55,-53.2,2,1
FINNIFTY,2023-09-26 00:00:00,10 10,40,46.65,46.6,0,0,26.8,25.4,0,0
FINNIFTY,2023-01-31 00:00:00,10 10,40,85.45,-68.4,2,1,80.25,80.2,0,0
FINNIFTY,2024-07-09 00:00:00,10 10,40,53.1,-42.5,2,1,25.4,25.3,0,0
FINNIFTY,2023-02-28 00:00:00,10 10,40,49.7,29.8,1,1,45.8,-36.6,2,1
FINNIFTY,2024-07-30 00:00:00,10 10,40,71.5,-28.6,1,0,66.2,66.0,0,0
FINNIFTY,2024-04-09 00:00:00,10 10,40,25.95,15.4,1,1,47.95,31.0,0,0
FINNIFTY,2024-01-16 00:00:00,10 10,40,27.15,16.2,1,1,51.5,-41.2,2,1
FINNIFTY,2023-01-03 00:00:00,10 10,40,45.2,-36.2,2,1,43.05,25.7,1,1
FINNIFTY,2024-03-26 00:00:00,10 10,40,47.25,21.7,1,1,40.4,40.4,0,0
FINNIFTY,2023-05-09 00:00:00,10 10,40,49.85,29.9,1,1,27.3,-21.8,2,1
FINNIFTY,2024-02-13 00:00:00,10 10,40,78.5,5.7,1,1,45.75,-36.6,2,1
FINNIFTY,2023-12-26 00:00:00,10 10,40,29.2,-23.4,2,1,36.15,-28.9,2,1
FINNIFTY,2024-05-21 00:00:00,10 10,40,32.2,19.2,1,1,49.95,39.8,0,0
FINNIFTY,2024-01-30 00:00:00,10 10,40,60.65,60.6,0,0,55.65,42.0,0,0
FINNIFTY,2024-05-07 00:00:00,10 10,40,73.9,73.9,0,0,74.95,20.1,0,0
FINNIFTY,2023-09-05 00:00:00,10 10,40,23.4,23.3,0,0,36.0,-28.8,2,1
FINNIFTY,2023-02-07 00:00:00,10 10,40,55.7,-44.6,2,1,38.4,23.0,1,1
FINNIFTY,2023-04-11 00:00:00,10 10,40,25.4,-20.3,2,1,41.5,41.4,0,0
FINNIFTY,2024-06-25 00:00:00,10 10,40,52.65,-21.1,1,0,52.5,52.4,0,0
FINNIFTY,2023-05-30 00:00:00,10 10,40,30.45,-24.4,2,1,33.85,-27.1,2,1
FINNIFTY,2023-08-01 00:00:00,10 10,40,55.55,55.5,0,0,51.3,-41.0,2,1
FINNIFTY,2023-06-06 00:00:00,10 10,40,26.25,-10.5,1,0,34.0,20.4,1,1
FINNIFTY,2023-04-25 00:00:00,10 10,40,48.95,48.9,0,0,28.0,-22.4,2,1
FINNIFTY,2023-03-06 00:00:00,10 10,40,28.75,28.7,0,0,39.4,-15.8,1,0
FINNIFTY,2023-12-12 00:00:00,10 10,40,18.85,18.8,0,0,24.8,-9.9,1,0
FINNIFTY,2023-06-20 00:00:00,10 10,40,29.05,-11.6,1,0,38.1,22.8,1,1
FINNIFTY,2023-07-25 00:00:00,10 10,40,62.35,62.3,0,0,62.1,-49.7,2,1
FINNIFTY,2023-10-23 00:00:00,10 10,40,17.2,17.2,0,0,30.5,-12.2,1,0
FINNIFTY,2024-04-30 00:00:00,10 10,40,70.0,-56.0,2,1,49.15,39.4,0,0
FINNIFTY,2023-01-17 00:00:00,10 10,40,39.1,34.4,0,0,57.0,34.2,1,1
FINNIFTY,2024-08-13 00:00:00,10 10,40,47.9,47.8,0,0,58.9,-47.1,2,1
FINNIFTY,2023-07-11 00:00:00,10 10,40,56.25,56.2,0,0,39.3,-15.7,1,0
FINNIFTY,2024-05-14 00:00:00,10 10,40,56.2,-45.0,2,1,63.5,63.4,0,0
FINNIFTY,2024-06-11 00:00:00,10 10,40,63.85,38.3,1,1,42.35,-0.6,1,1
FINNIFTY,2024-01-23 00:00:00,10 10,40,37.6,37.6,0,0,77.95,-31.2,1,0
FINNIFTY,2023-04-18 00:00:00,10 10,40,42.95,42.9,0,0,33.95,-13.6,1,0
FINNIFTY,2023-01-10 00:00:00,10 10,40,40.8,40.8,0,0,55.0,-22.0,1,0
FINNIFTY,2024-03-12 00:00:00,10 10,40,43.65,43.6,0,0,50.05,-20.0,1,0
FINNIFTY,2023-08-22 00:00:00,10 10,40,20.7,20.6,0,0,52.9,-42.3,2,1
FINNIFTY,2023-08-29 00:00:00,10 10,40,27.05,26.8,0,0,29.3,17.3,1,1
FINNIFTY,2023-02-14 00:00:00,10 10,40,42.85,-17.1,1,0,35.35,35.3,0,0
FINNIFTY,2023-04-03 00:00:00,10 10,40,37.45,-30.0,2,1,49.6,49.6,0,0
FINNIFTY,2023-10-31 00:00:00,10 10,40,23.3,13.9,1,1,43.2,-34.6,2,1
