instru,expiry,time,sl,ce entry,ce pnl,ce sl num,ce reentries,pe entry,pe pnl,pe sl num,pe reentries
MIDCPNIFTY,2024-04-01 00:00:00,10 10,40,6.9,-5.5,2,1,10.5,10.4,0,0
MIDCPNIFTY,2024-03-18 00:00:00,10 10,40,29.35,29.3,0,0,37.1,-29.7,2,1
MIDCPNIFTY,2024-01-29 00:00:00,10 10,40,14.45,-5.8,1,0,14.4,-11.5,2,1
MIDCPNIFTY,2023-09-11 00:00:00,10 10,40,2.0,-1.6,2,1,0.85,0.8,0,0
MIDCPNIFTY,2024-07-22 00:00:00,10 10,40,23.5,-9.4,1,0,24.45,24.4,0,0
MIDCPNIFTY,2024-07-15 00:00:00,10 10,40,11.15,-8.9,2,1,15.3,-12.2,2,1
MIDCPNIFTY,2023-10-16 00:00:00,10 10,40,2.65,1.5,1,1,3.6,3.6,0,0
MIDCPNIFTY,2024-05-13 00:00:00,10 10,40,9.8,-7.8,2,1,15.8,9.4,1,1
MIDCPNIFTY,2024-07-29 00:00:00,10 10,40,11.7,7.0,1,1,11.0,-8.8,2,1
MIDCPNIFTY,2023-07-26 00:00:00,10 10,40,3.4,3.4,0,0,1.8,1.0,1,1
MIDCPNIFTY,2024-04-15 00:00:00,10 10,40,12.1,12.0,0,0,13.35,13.3,0,0
MIDCPNIFTY,2024-04-22 00:00:00,10 10,40,8.55,5.1,1,1,12.6,-10.1,2,1
MIDCPNIFTY,2024-07-01 00:00:00,10 10,40,12.7,-10.2,2,1,12.7,7.6,1,1
MIDCPNIFTY,2023-12-04 00:00:00,10 10,40,2.15,-1.7,2,1,3.5,3.4,0,0
MIDCPNIFTY,2024-08-19 00:00:00,10 10,40,23.75,-19.0,2,1,23.65,-18.9,2,1
MIDCPNIFTY,2023-12-18 00:00:00,10 10,40,1.75,-1.4,2,1,2.35,2.3,0,0
MIDCPNIFTY,2023-10-30 00:00:00,10 10,40,6.5,-2.6,1,0,4.15,4.1,0,0
MIDCPNIFTY,2024-08-05 00:00:00,10 10,40,18.5,18.4,0,0,26.5,10.8,1,1
MIDCPNIFTY,2024-02-05 00:00:00,10 10,40,12.6,12.5,0,0,14.4,-11.5,2,1
MIDCPNIFTY,2023-11-06 00:00:00,10 10,40,2.35,1.4,1,1,2.1,2.1,0,0
MIDCPNIFTY,2024-02-19 00:00:00,10 10,40,6.2,3.7,1,1,4.3,4.2,0,0
MIDCPNIFTY,2024-06-14 00:00:00,10 10,40,5.6,-4.5,2,1,8.1,8.0,0,0
MIDCPNIFTY,2023-10-23 00:00:00,10 10,40,5.6,-4.5,2,1,3.1,-2.5,2,1
MIDCPNIFTY,2023-09-29 00:00:00,10 10,40,5.9,-4.7,2,1,7.35,-5.9,2,1
