instru,expiry,time,sl,ce entry,ce pnl,ce sl num,ce reentries,pe entry,pe pnl,pe sl num,pe reentries,pnl,ce cum pnl,pe cum pnl,cum pnl
MIDCPNIFTY,26/07/23 0:00,10 10,40,20.35,20.3,0,0,12.5,5.1,1,1,25.4,20.3,5.1,25.4
MIDCPNIFTY,02/08/23 0:00,10 10,40,10.75,10.7,0,0,17.55,-7,1,0,3.7,31,-1.9,29.1
MIDCPNIFTY,09/08/23 0:00,10 10,40,20.8,-16.6,2,1,20.75,20.7,0,0,4.1,14.4,18.8,33.2
MIDCPNIFTY,16/08/23 0:00,10 10,40,16.2,-13,2,1,25.2,25.2,0,0,12.2,1.4,44,45.4
MIDCPNIFTY,21/08/23 0:00,10 10,40,15.15,-6.1,1,0,18.1,18,0,0,11.9,-4.7,62,57.3
MIDCPNIFTY,28/08/23 0:00,10 10,40,11.35,-9.1,2,1,19.8,19.8,0,0,10.7,-13.8,81.8,68
MIDCPNIFTY,04/09/23 0:00,10 10,40,14.8,4.9,1,1,9.05,-7.2,2,1,-2.3,-8.9,74.6,65.7
MIDCPNIFTY,11/09/23 0:00,10 10,40,21.1,-16.9,2,1,6.35,6.3,0,0,-10.6,-25.8,80.9,55.1
MIDCPNIFTY,18/09/23 0:00,10 10,40,17.35,17.2,0,0,10.55,9.6,0,0,26.8,-8.6,90.5,81.9
MIDCPNIFTY,25/09/23 0:00,10 10,40,13.9,-11.1,2,1,18.3,10.9,1,1,-0.2,-19.7,101.4,81.7
MIDCPNIFTY,29/09/23 0:00,10 10,40,17.8,-14.2,2,1,21.95,-17.6,2,1,-31.8,-33.9,83.8,49.9
MIDCPNIFTY,09/10/23 0:00,10 10,40,9.85,9.8,0,0,27.9,1.2,0,0,11,-24.1,85,60.9
MIDCPNIFTY,16/10/23 0:00,10 10,40,12.35,7.4,1,1,18.4,0.5,0,0,7.9,-16.7,85.5,68.8
MIDCPNIFTY,23/10/23 0:00,10 10,40,28.65,17.1,1,1,10.4,-8.3,2,1,8.8,0.4,77.2,77.6
MIDCPNIFTY,30/10/23 0:00,10 10,40,23.3,-9.3,1,0,15.35,15.3,0,0,6,-8.9,92.5,83.6
MIDCPNIFTY,06/11/23 0:00,10 10,40,13.2,-5.4,1,1,10.95,10.9,0,0,5.5,-14.3,103.4,89.1
MIDCPNIFTY,13/11/23 0:00,10 10,40,13.75,-11,2,1,10.35,6.2,1,1,-4.8,-25.3,109.6,84.3
MIDCPNIFTY,20/11/23 0:00,10 10,40,10.55,6.3,1,1,13.45,-10.8,2,1,-4.5,-19,98.8,79.8
MIDCPNIFTY,24/11/23 0:00,10 10,40,14.75,-11.8,2,1,8.9,8.8,0,0,-3,-30.8,107.6,76.8
MIDCPNIFTY,04/12/23 0:00,10 10,40,9.3,-7.4,2,1,19.65,19.6,0,0,12.2,-38.2,127.2,89
MIDCPNIFTY,11/12/23 0:00,10 10,40,6.7,4,1,1,22.6,4.3,1,1,8.3,-34.2,131.5,97.3
MIDCPNIFTY,18/12/23 0:00,10 10,40,8.5,-6.8,2,1,18,14.2,0,0,7.4,-41,145.7,104.7
MIDCPNIFTY,22/12/23 0:00,10 10,40,33.7,6.8,0,0,16.1,-12.9,2,1,-6.1,-34.2,132.8,98.6
MIDCPNIFTY,01/01/24 0:00,10 10,40,9,-7.2,2,1,17.15,8.6,0,0,1.4,-41.4,141.4,100
