instru,expiry,time,sl,ce entry,ce pnl,ce sl num,ce reentries,pe entry,pe pnl,pe sl num,pe reentries
MIDCPNIFTY,2024-04-01 00:00:00,10 10,40,16.2,-13.0,2,1,31.65,31.6,0,0
MIDCPNIFTY,2024-03-18 00:00:00,10 10,40,47.5,47.4,0,0,60.95,-48.8,2,1
MIDCPNIFTY,2024-01-29 00:00:00,10 10,40,37.6,-15.0,1,0,29.25,17.5,1,1
MIDCPNIFTY,2023-09-11 00:00:00,10 10,40,21.1,-16.9,2,1,6.35,6.3,0,0
MIDCPNIFTY,2024-07-22 00:00:00,10 10,40,41.25,-16.5,1,0,45.65,45.6,0,0
MIDCPNIFTY,2024-07-15 00:00:00,10 10,40,23.65,-18.9,2,1,34.0,-27.2,2,1
MIDCPNIFTY,2023-10-16 00:00:00,10 10,40,12.35,7.4,1,1,18.4,0.5,0,0
MIDCPNIFTY,2024-05-13 00:00:00,10 10,40,23.55,-18.8,2,1,32.3,19.3,1,1
MIDCPNIFTY,2024-07-29 00:00:00,10 10,40,26.7,16.0,1,1,29.1,-23.3,2,1
MIDCPNIFTY,2023-07-26 00:00:00,10 10,40,20.35,20.3,0,0,12.5,5.1,1,1
MIDCPNIFTY,2024-04-15 00:00:00,10 10,40,31.15,29.9,0,0,26.25,26.2,0,0
MIDCPNIFTY,2024-04-22 00:00:00,10 10,40,23.25,23.2,0,0,25.3,-20.2,2,1
MIDCPNIFTY,2024-07-01 00:00:00,10 10,40,29.85,15.8,1,1,25.95,25.9,0,0
MIDCPNIFTY,2023-12-04 00:00:00,10 10,40,9.3,-7.4,2,1,19.65,19.6,0,0
MIDCPNIFTY,2024-08-19 00:00:00,10 10,40,40.4,-32.3,2,1,46.6,-37.3,2,1
MIDCPNIFTY,2023-12-18 00:00:00,10 10,40,8.5,-6.8,2,1,18.0,14.2,0,0
MIDCPNIFTY,2023-10-30 00:00:00,10 10,40,23.3,-9.3,1,0,15.35,15.3,0,0
MIDCPNIFTY,2024-08-05 00:00:00,10 10,40,32.6,32.6,0,0,49.85,-25.4,1,1
MIDCPNIFTY,2024-02-05 00:00:00,10 10,40,29.6,29.6,0,0,30.4,-24.3,2,1
MIDCPNIFTY,2023-11-06 00:00:00,10 10,40,13.2,-5.4,1,1,10.95,10.9,0,0
MIDCPNIFTY,2024-02-19 00:00:00,10 10,40,21.75,-17.4,2,1,14.0,11.0,0,0
MIDCPNIFTY,2024-06-14 00:00:00,10 10,40,16.05,-6.4,1,0,24.95,24.9,0,0
MIDCPNIFTY,2023-10-23 00:00:00,10 10,40,28.65,17.1,1,1,10.4,-8.3,2,1
MIDCPNIFTY,2023-09-29 00:00:00,10 10,40,17.8,-14.2,2,1,21.95,-17.6,2,1
MIDCPNIFTY,2023-11-20 00:00:00,10 10,40,10.55,6.3,1,1,13.45,-10.8,2,1
MIDCPNIFTY,2024-01-08 00:00:00,10 10,40,17.75,10.5,1,1,15.15,-12.1,2,1
MIDCPNIFTY,2023-08-09 00:00:00,10 10,40,20.8,-16.6,2,1,20.75,20.7,0,0
MIDCPNIFTY,2024-08-26 00:00:00,10 10,40,25.85,25.8,0,0,35.1,-14.0,1,0
MIDCPNIFTY,2024-04-29 00:00:00,10 10,40,15.45,-12.4,2,1,19.45,19.4,0,0
MIDCPNIFTY,2023-09-25 00:00:00,10 10,40,13.9,-11.1,2,1,18.3,10.9,1,1
MIDCPNIFTY,2023-08-21 00:00:00,10 10,40,15.15,-6.1,1,0,18.1,18.0,0,0
MIDCPNIFTY,2024-03-11 00:00:00,10 10,40,16.45,9.8,1,1,26.65,3.2,0,0
MIDCPNIFTY,2023-08-16 00:00:00,10 10,40,16.2,-13.0,2,1,25.2,25.2,0,0
MIDCPNIFTY,2024-02-12 00:00:00,10 10,40,23.3,23.2,0,0,21.5,-17.2,2,1
MIDCPNIFTY,2024-04-08 00:00:00,10 10,40,28.0,16.8,1,1,23.5,-18.8,2,1
MIDCPNIFTY,2024-06-24 00:00:00,10 10,40,50.25,-40.2,2,1,40.35,40.3,0,0
MIDCPNIFTY,2024-05-17 00:00:00,10 10,40,27.0,-21.6,2,1,22.75,22.7,0,0
MIDCPNIFTY,2024-05-06 00:00:00,10 10,40,31.95,31.9,0,0,19.0,6.3,1,1
MIDCPNIFTY,2023-09-18 00:00:00,10 10,40,17.35,17.2,0,0,10.55,9.6,0,0
MIDCPNIFTY,2024-06-03 00:00:00,10 10,40,64.7,41.9,0,0,59.75,59.7,0,0
MIDCPNIFTY,2023-09-04 00:00:00,10 10,40,14.8,4.9,1,1,9.05,-7.2,2,1
MIDCPNIFTY,2023-11-24 00:00:00,10 10,40,14.75,-11.8,2,1,8.9,8.8,0,0
MIDCPNIFTY,2023-12-22 00:00:00,10 10,40,33.7,6.8,0,0,16.1,-12.9,2,1
MIDCPNIFTY,2024-03-22 00:00:00,10 10,40,17.95,8.7,1,1,28.55,28.5,0,0
MIDCPNIFTY,2023-08-02 00:00:00,10 10,40,10.75,10.7,0,0,17.55,-7.0,1,0
MIDCPNIFTY,2024-09-02 00:00:00,10 10,40,19.1,19.0,0,0,20.0,-16.0,2,1
MIDCPNIFTY,2024-07-08 00:00:00,10 10,40,34.0,20.4,1,1,32.85,-26.3,2,1
MIDCPNIFTY,2024-05-27 00:00:00,10 10,40,48.45,-38.8,2,1,43.45,43.4,0,0
MIDCPNIFTY,2023-12-11 00:00:00,10 10,40,6.7,4.0,1,1,22.6,4.3,1,1
MIDCPNIFTY,2024-06-10 00:00:00,10 10,40,53.35,53.3,0,0,65.85,-52.7,2,1
MIDCPNIFTY,2023-11-13 00:00:00,10 10,40,13.75,-11.0,2,1,10.35,6.2,1,1
MIDCPNIFTY,2024-01-15 00:00:00,10 10,40,17.85,-14.3,2,1,24.6,24.6,0,0
MIDCPNIFTY,2023-08-28 00:00:00,10 10,40,11.35,-9.1,2,1,19.8,19.8,0,0
MIDCPNIFTY,2024-01-01 00:00:00,10 10,40,9.0,-7.2,2,1,17.15,8.6,0,0
MIDCPNIFTY,2023-10-09 00:00:00,10 10,40,9.85,9.8,0,0,27.9,1.2,0,0
MIDCPNIFTY,2024-08-12 00:00:00,10 10,40,40.6,-16.2,1,0,44.2,26.5,1,1
