instru,expiry,time,sl,ce entry,ce pnl,ce sl num,ce reentries,pe entry,pe pnl,pe sl num,pe reentries
NIFTY,2024-05-02 00:00:00,10 10,40,28.0,16.8,1,1,15.25,9.0,1,1
NIFTY,2024-07-04 00:00:00,10 10,40,10.55,10.5,0,0,15.4,-12.3,2,1
NIFTY,2023-11-30 00:00:00,10 10,40,6.55,-5.2,2,1,13.65,13.6,0,0
NIFTY,2024-07-25 00:00:00,10 10,40,14.1,-11.3,2,1,20.35,20.2,0,0
NIFTY,2024-07-18 00:00:00,10 10,40,27.6,-22.1,2,1,12.45,-10.0,2,1
NIFTY,2023-11-09 00:00:00,10 10,40,2.8,2.8,0,0,4.2,-3.4,2,1
NIFTY,2024-04-10 00:00:00,10 10,40,9.45,9.4,0,0,15.25,15.2,0,0
NIFTY,2024-08-14 00:00:00,10 10,40,15.15,15.1,0,0,16.95,16.8,0,0
NIFTY,2023-09-14 00:00:00,10 10,40,7.9,7.8,0,0,10.45,-8.4,2,1
NIFTY,2024-08-08 00:00:00,10 10,40,52.7,-42.2,2,1,59.05,59.0,0,0
NIFTY,2024-05-16 00:00:00,10 10,40,18.9,-15.1,2,1,32.75,-26.2,2,1
NIFTY,2024-06-13 00:00:00,10 10,40,12.2,12.1,0,0,17.4,17.3,0,0
NIFTY,2024-01-25 00:00:00,10 10,40,25.65,25.5,0,0,22.95,-18.4,2,1
NIFTY,2024-04-04 00:00:00,10 10,40,23.9,-19.1,2,1,23.95,-19.2,2,1
NIFTY,2024-08-29 00:00:00,10 10,40,14.85,-11.9,2,1,17.8,-14.2,2,1
NIFTY,2024-04-18 00:00:00,10 10,40,9.7,-7.8,2,1,20.1,-16.1,2,1
NIFTY,2023-10-19 00:00:00,10 10,40,3.95,-3.2,2,1,7.1,7.0,0,0
NIFTY,2024-02-29 00:00:00,10 10,40,41.05,24.3,1,1,31.9,19.1,1,1
NIFTY,2024-04-25 00:00:00,10 10,40,27.25,-21.8,2,1,15.2,-12.2,2,1
NIFTY,2023-10-05 00:00:00,10 10,40,2.15,-1.7,2,1,4.05,2.4,1,1
NIFTY,2024-02-08 00:00:00,10 10,40,12.8,12.8,0,0,29.15,-23.3,2,1
NIFTY,2024-01-11 00:00:00,10 10,40,7.95,4.7,1,1,6.8,-5.4,2,1
NIFTY,2023-10-26 00:00:00,10 10,40,11.6,11.5,0,0,13.85,-11.1,2,1
NIFTY,2024-05-23 00:00:00,10 10,40,40.2,-32.2,2,1,22.65,22.5,0,0
NIFTY,2024-05-30 00:00:00,10 10,40,29.95,17.9,1,1,29.0,17.4,1,1
NIFTY,2023-09-21 00:00:00,10 10,40,5.25,5.2,0,0,9.1,9.0,0,0
NIFTY,2023-09-07 00:00:00,10 10,40,0.85,-0.3,1,0,6.85,6.8,0,0
NIFTY,2024-08-22 00:00:00,10 10,40,8.45,8.4,0,0,9.95,9.9,0,0
NIFTY,2023-12-14 00:00:00,10 10,40,5.3,-4.2,2,1,5.6,3.3,1,1
NIFTY,2024-07-11 00:00:00,10 10,40,9.2,9.1,0,0,11.2,-9.0,2,1
NIFTY,2023-10-12 00:00:00,10 10,40,3.35,-2.7,2,1,7.9,7.8,0,0
NIFTY,2024-06-06 00:00:00,10 10,40,51.25,30.7,1,1,65.25,-52.2,2,1
NIFTY,2024-08-01 00:00:00,10 10,40,7.5,7.4,0,0,17.15,17.1,0,0
NIFTY,2024-03-14 00:00:00,10 10,40,27.6,-22.1,2,1,19.85,19.8,0,0
NIFTY,2023-11-23 00:00:00,10 10,40,3.6,3.6,0,0,4.75,2.8,1,1
NIFTY,2024-06-20 00:00:00,10 10,40,25.35,-20.3,2,1,32.5,32.4,0,0
NIFTY,2023-12-21 00:00:00,10 10,40,18.15,-14.5,2,1,14.4,-11.5,2,1
NIFTY,2024-03-28 00:00:00,10 10,40,20.45,-16.4,2,1,14.35,14.2,0,0
NIFTY,2023-12-28 00:00:00,10 10,40,24.7,24.6,0,0,15.15,-12.1,2,1
NIFTY,2024-05-09 00:00:00,10 10,40,22.3,22.2,0,0,24.1,-19.3,2,1
NIFTY,2024-01-04 00:00:00,10 10,40,6.9,-5.5,2,1,4.0,4.0,0,0
NIFTY,2024-02-01 00:00:00,10 10,40,51.25,30.7,1,1,59.6,-47.7,2,1
NIFTY,2023-11-02 00:00:00,10 10,40,2.85,2.8,0,0,4.9,-3.9,2,1
NIFTY,2024-01-18 00:00:00,10 10,40,18.4,-14.7,2,1,19.8,-15.8,2,1
NIFTY,2023-12-07 00:00:00,10 10,40,5.4,-4.3,2,1,3.6,3.6,0,0
NIFTY,2024-03-07 00:00:00,10 10,40,10.4,6.2,1,1,12.4,-9.9,2,1
NIFTY,2023-09-28 00:00:00,10 10,40,5.35,5.2,0,0,14.2,-11.4,2,1
NIFTY,2023-11-16 00:00:00,10 10,40,4.85,-3.9,2,1,3.0,3.0,0,0
NIFTY,2024-06-27 00:00:00,10 10,40,32.45,-26.0,2,1,24.0,-19.2,2,1
NIFTY,2024-03-21 00:00:00,10 10,40,13.7,13.6,0,0,10.7,-8.6,2,1
NIFTY,2024-02-22 00:00:00,10 10,40,23.6,-18.9,2,1,43.65,26.1,1,1
NIFTY,2024-02-15 00:00:00,10 10,40,29.25,-23.4,2,1,18.95,18.8,0,0
