instru,expiry,time,sl,ce entry,ce pnl,ce sl num,ce reentries,pe entry,pe pnl,pe sl num,pe reentries
NIFTY,2024-05-02 00:00:00,10 10,40,75.75,45.3,1,1,35.5,19.5,1,1
NIFTY,2024-07-04 00:00:00,10 10,40,39.05,39.0,0,0,45.45,-18.2,1,0
NIFTY,2023-11-30 00:00:00,10 10,40,29.85,-23.9,2,1,49.2,49.2,0,0
NIFTY,2024-07-25 00:00:00,10 10,40,40.2,-32.2,2,1,54.1,54.0,0,0
NIFTY,2024-07-18 00:00:00,10 10,40,80.0,-32.0,1,0,34.25,20.5,1,1
NIFTY,2023-11-09 00:00:00,10 10,40,18.15,18.1,0,0,33.15,-26.5,2,1
NIFTY,2024-04-10 00:00:00,10 10,40,37.85,-15.1,1,0,42.2,42.1,0,0
NIFTY,2024-08-14 00:00:00,10 10,40,37.9,37.8,0,0,49.9,44.4,0,0
NIFTY,2023-09-14 00:00:00,10 10,40,31.15,28.4,0,0,48.85,-39.1,2,1
NIFTY,2024-08-08 00:00:00,10 10,40,91.75,-73.4,2,1,101.35,67.5,0,0
NIFTY,2024-05-16 00:00:00,10 10,40,54.1,-43.3,2,1,68.8,-55.0,2,1
NIFTY,2024-06-13 00:00:00,10 10,40,37.9,37.6,0,0,54.25,53.6,0,0
NIFTY,2024-01-25 00:00:00,10 10,40,69.1,68.8,0,0,52.25,-41.8,2,1
NIFTY,2024-04-04 00:00:00,10 10,40,57.8,-23.1,1,0,60.35,-48.3,2,1
NIFTY,2024-08-29 00:00:00,10 10,40,57.45,-46.0,2,1,43.9,-35.1,2,1
NIFTY,2024-04-18 00:00:00,10 10,40,33.5,20.0,1,1,54.0,-43.2,2,1
NIFTY,2023-10-19 00:00:00,10 10,40,28.95,-8.5,1,1,32.2,32.2,0,0
NIFTY,2024-02-29 00:00:00,10 10,40,83.4,-66.7,2,1,66.45,39.8,1,1
NIFTY,2024-04-25 00:00:00,10 10,40,65.95,-52.8,2,1,40.6,-32.5,2,1
NIFTY,2023-10-05 00:00:00,10 10,40,29.0,17.4,1,1,22.7,-18.2,2,1
NIFTY,2024-02-08 00:00:00,10 10,40,36.95,36.9,0,0,75.45,-60.4,2,1
NIFTY,2024-01-11 00:00:00,10 10,40,42.15,42.1,0,0,23.95,-19.2,2,1
NIFTY,2023-10-26 00:00:00,10 10,40,31.1,31.0,0,0,61.9,-49.5,2,1
NIFTY,2024-05-23 00:00:00,10 10,40,85.6,-68.5,2,1,52.85,52.8,0,0
NIFTY,2024-05-30 00:00:00,10 10,40,72.55,43.5,1,1,64.35,-23.4,1,1
NIFTY,2023-09-21 00:00:00,10 10,40,19.2,-15.4,2,1,54.45,47.8,0,0
NIFTY,2023-09-07 00:00:00,10 10,40,14.2,-5.7,1,0,41.35,41.2,0,0
NIFTY,2024-08-22 00:00:00,10 10,40,30.15,-24.1,2,1,40.65,40.6,0,0
NIFTY,2023-12-14 00:00:00,10 10,40,33.05,-26.4,2,1,28.45,-22.8,2,1
NIFTY,2024-07-11 00:00:00,10 10,40,31.1,31.0,0,0,42.9,-34.3,2,1
NIFTY,2023-10-12 00:00:00,10 10,40,19.2,-15.4,2,1,44.95,40.2,0,0
NIFTY,2024-06-06 00:00:00,10 10,40,83.45,28.9,1,1,116.0,-92.8,2,1
NIFTY,2024-08-01 00:00:00,10 10,40,29.8,29.8,0,0,45.3,-36.2,2,1
NIFTY,2024-03-14 00:00:00,10 10,40,64.9,-26.0,1,0,51.75,51.7,0,0
NIFTY,2023-11-23 00:00:00,10 10,40,21.9,21.8,0,0,25.9,-10.4,1,0
NIFTY,2024-06-20 00:00:00,10 10,40,58.3,-46.6,2,1,67.8,67.8,0,0
NIFTY,2023-12-21 00:00:00,10 10,40,51.95,-41.6,2,1,41.35,24.8,1,1
NIFTY,2024-03-28 00:00:00,10 10,40,68.0,-54.4,2,1,38.0,37.8,0,0
NIFTY,2023-12-28 00:00:00,10 10,40,68.35,-38.0,1,1,40.85,24.5,1,1
NIFTY,2024-05-09 00:00:00,10 10,40,62.5,62.4,0,0,55.45,-44.4,2,1
NIFTY,2024-01-04 00:00:00,10 10,40,39.45,-15.8,1,0,18.9,18.8,0,0
NIFTY,2024-02-01 00:00:00,10 10,40,78.8,47.2,1,1,111.9,-89.5,2,1
NIFTY,2023-11-02 00:00:00,10 10,40,18.15,18.1,0,0,38.5,6.5,1,1
NIFTY,2024-01-18 00:00:00,10 10,40,57.95,-46.4,2,1,45.5,-36.4,2,1
NIFTY,2023-12-07 00:00:00,10 10,40,36.4,-29.1,2,1,18.0,18.0,0,0
NIFTY,2024-03-07 00:00:00,10 10,40,38.4,23.0,1,1,36.95,-29.6,2,1
NIFTY,2023-09-28 00:00:00,10 10,40,23.8,23.7,0,0,58.85,-47.1,2,1
NIFTY,2023-11-16 00:00:00,10 10,40,44.1,-35.3,2,1,15.1,15.0,0,0
NIFTY,2024-06-27 00:00:00,10 10,40,74.55,-59.6,2,1,58.1,-46.5,2,1
NIFTY,2024-03-21 00:00:00,10 10,40,44.75,44.7,0,0,40.8,-32.6,2,1
NIFTY,2024-02-22 00:00:00,10 10,40,52.45,-21.0,1,0,94.05,56.4,1,1
NIFTY,2024-02-15 00:00:00,10 10,40,75.2,-16.2,1,1,42.5,42.4,0,0
