instru,expiry,time,sl,ce entry,ce pnl,ce sl num,ce reentries,pe entry,pe pnl,pe sl num,pe reentries
SENSEX,2023-12-01 00:00:00,10 10,40,11.2,-9.0,2,1,17.6,17.5,0,0
SENSEX,2024-08-30 00:00:00,10 10,40,86.75,86.6,0,0,101.25,101.2,0,0
SENSEX,2024-06-07 00:00:00,10 10,40,226.65,-90.7,1,0,146.45,87.8,1,1
SENSEX,2024-03-15 00:00:00,10 10,40,50.6,30.3,1,1,65.15,65.1,0,0
SENSEX,2024-03-22 00:00:00,10 10,40,96.05,-76.8,2,1,85.4,85.3,0,0
SENSEX,2024-02-16 00:00:00,10 10,40,73.6,73.6,0,0,79.15,79.1,0,0
SENSEX,2024-06-21 00:00:00,10 10,40,57.95,57.8,0,0,103.6,-82.9,2,1
SENSEX,2024-05-24 00:00:00,10 10,40,56.8,-45.4,2,1,86.6,86.5,0,0
SENSEX,2023-07-21 00:00:00,10 10,40,61.2,61.1,0,0,44.25,-35.4,2,1
SENSEX,2024-08-23 00:00:00,10 10,40,35.85,35.8,0,0,55.45,55.4,0,0
SENSEX,2024-02-23 00:00:00,10 10,40,66.0,39.4,1,1,49.5,-39.6,2,1
SENSEX,2023-10-13 00:00:00,10 10,40,20.0,-16.0,2,1,10.55,10.5,0,0
SENSEX,2023-11-10 00:00:00,10 10,40,13.1,-10.5,2,1,8.1,8.0,0,0
SENSEX,2023-12-15 00:00:00,10 10,40,19.0,-15.2,2,1,31.45,31.1,0,0
SENSEX,2023-12-22 00:00:00,10 10,40,66.4,66.4,0,0,49.4,-39.5,2,1
SENSEX,2024-01-25 00:00:00,10 10,40,87.45,52.0,1,1,86.1,-68.9,2,1
SENSEX,2023-09-08 00:00:00,10 10,40,18.85,-15.1,2,1,43.75,-35.0,2,1
SENSEX,2024-04-26 00:00:00,10 10,40,73.3,73.2,0,0,139.5,-111.6,2,1
SENSEX,2024-02-02 00:00:00,10 10,40,63.65,-50.9,2,1,42.65,-34.1,2,1
SENSEX,2024-03-01 00:00:00,10 10,40,123.4,-98.7,2,1,163.15,163.0,0,0
SENSEX,2024-08-02 00:00:00,10 10,40,68.4,41.0,1,1,60.7,60.6,0,0
SENSEX,2023-08-25 00:00:00,10 10,40,16.25,16.2,0,0,17.5,-14.0,2,1
SENSEX,2024-06-14 00:00:00,10 10,40,52.25,52.2,0,0,46.95,46.9,0,0
SENSEX,2024-04-12 00:00:00,10 10,40,55.05,-44.0,2,1,115.6,-92.5,2,1
SENSEX,2023-09-29 00:00:00,10 10,40,28.3,16.9,1,1,21.95,-17.6,2,1
SENSEX,2023-07-14 00:00:00,10 10,40,42.0,-33.6,2,1,38.55,38.5,0,0
SENSEX,2023-11-17 00:00:00,10 10,40,19.95,19.9,0,0,31.15,18.4,1,1
SENSEX,2024-07-12 00:00:00,10 10,40,89.55,-35.8,1,0,110.6,66.3,1,1
SENSEX,2023-12-29 00:00:00,10 10,40,33.15,19.8,1,1,43.9,43.8,0,0
SENSEX,2023-08-04 00:00:00,10 10,40,12.55,7.5,1,1,75.35,75.3,0,0
SENSEX,2024-01-05 00:00:00,10 10,40,15.8,15.7,0,0,12.55,-10.0,2,1
SENSEX,2023-08-18 00:00:00,10 10,40,11.55,-9.2,2,1,16.35,9.8,1,1
SENSEX,2024-07-26 00:00:00,10 10,40,126.25,-101.0,2,1,79.45,79.4,0,0
SENSEX,2024-01-19 00:00:00,10 10,40,58.4,58.2,0,0,47.7,47.7,0,0
SENSEX,2023-12-08 00:00:00,10 10,40,17.9,-14.3,2,1,30.55,30.5,0,0
SENSEX,2023-09-22 00:00:00,10 10,40,26.25,-21.0,2,1,22.35,22.3,0,0
SENSEX,2023-09-15 00:00:00,10 10,40,29.35,17.6,1,1,34.05,33.9,0,0
SENSEX,2024-08-09 00:00:00,10 10,40,70.1,70.0,0,0,85.15,85.1,0,0
SENSEX,2024-05-17 00:00:00,10 10,40,123.25,-98.6,2,1,105.55,105.5,0,0
SENSEX,2024-04-05 00:00:00,10 10,40,72.3,72.2,0,0,89.95,89.9,0,0
