instru,expiry,time,sl,ce entry,ce pnl,ce sl num,ce reentries,pe entry,pe pnl,pe sl num,pe reentries
SENSEX,2023-12-01 00:00:00,10 10,40,90.4,-72.3,2,1,81.5,81.4,0,0
SENSEX,2024-08-30 00:00:00,10 10,40,189.2,121.9,0,0,222.05,222.0,0,0
SENSEX,2024-06-07 00:00:00,10 10,40,355.6,-142.2,1,0,266.55,159.9,1,1
SENSEX,2024-03-15 00:00:00,10 10,40,157.8,157.6,0,0,137.9,-110.3,2,1
SENSEX,2024-03-22 00:00:00,10 10,40,228.8,-183.0,2,1,170.35,170.2,0,0
SENSEX,2024-02-16 00:00:00,10 10,40,153.65,127.4,0,0,183.95,183.8,0,0
SENSEX,2024-06-21 00:00:00,10 10,40,132.3,132.2,0,0,218.1,-174.5,2,1
SENSEX,2024-05-24 00:00:00,10 10,40,145.0,-116.0,2,1,189.55,189.3,0,0
SENSEX,2023-07-21 00:00:00,10 10,40,186.75,186.6,0,0,148.8,-119.0,2,1
SENSEX,2024-08-23 00:00:00,10 10,40,104.05,103.6,0,0,166.1,152.1,0,0
SENSEX,2024-02-23 00:00:00,10 10,40,157.95,157.8,0,0,117.0,-93.6,2,1
SENSEX,2023-10-13 00:00:00,10 10,40,115.3,-92.2,2,1,78.9,78.8,0,0
SENSEX,2023-11-10 00:00:00,10 10,40,99.25,-39.7,1,0,71.0,70.9,0,0
SENSEX,2023-12-15 00:00:00,10 10,40,124.15,-99.3,2,1,101.2,101.0,0,0
SENSEX,2023-12-22 00:00:00,10 10,40,180.7,171.6,0,0,118.9,69.9,1,1
SENSEX,2024-01-25 00:00:00,10 10,40,200.8,199.0,0,0,187.5,-150.0,2,1
SENSEX,2023-09-08 00:00:00,10 10,40,99.5,-42.2,1,1,158.65,95.1,1,1
SENSEX,2024-04-26 00:00:00,10 10,40,184.55,184.5,0,0,258.65,-206.9,2,1
SENSEX,2024-02-02 00:00:00,10 10,40,165.75,-132.6,2,1,112.2,-89.8,2,1
SENSEX,2024-03-01 00:00:00,10 10,40,278.85,-223.1,2,1,260.85,260.7,0,0
SENSEX,2024-08-02 00:00:00,10 10,40,142.95,85.6,1,1,178.3,61.8,0,0
SENSEX,2023-08-25 00:00:00,10 10,40,115.2,115.1,0,0,94.3,-75.4,2,1
SENSEX,2024-06-14 00:00:00,10 10,40,135.65,48.2,0,0,150.15,150.0,0,0
SENSEX,2024-04-12 00:00:00,10 10,40,143.65,-114.9,2,1,235.8,-188.6,2,1
SENSEX,2023-09-29 00:00:00,10 10,40,131.25,-42.9,1,1,104.9,-83.9,2,1
SENSEX,2023-07-14 00:00:00,10 10,40,163.75,-131.0,2,1,138.1,138.0,0,0
SENSEX,2023-11-17 00:00:00,10 10,40,78.45,78.4,0,0,126.65,-101.3,2,1
SENSEX,2024-07-12 00:00:00,10 10,40,190.5,-76.2,1,0,218.45,131.0,1,1
SENSEX,2023-12-29 00:00:00,10 10,40,129.5,46.7,1,1,122.9,73.7,1,1
SENSEX,2023-08-04 00:00:00,10 10,40,102.0,-81.6,2,1,201.3,201.2,0,0
SENSEX,2024-01-05 00:00:00,10 10,40,83.9,83.8,0,0,80.6,-64.5,2,1
SENSEX,2023-08-18 00:00:00,10 10,40,91.75,4.1,1,1,114.9,114.8,0,0
SENSEX,2024-07-26 00:00:00,10 10,40,248.45,-99.4,1,0,167.6,167.5,0,0
SENSEX,2024-01-19 00:00:00,10 10,40,176.05,175.9,0,0,113.35,51.0,1,1
SENSEX,2023-12-08 00:00:00,10 10,40,103.8,-83.0,2,1,114.4,68.6,1,1
SENSEX,2023-09-22 00:00:00,10 10,40,120.0,71.9,1,1,112.05,21.0,0,0
SENSEX,2023-09-15 00:00:00,10 10,40,136.45,-109.2,2,1,129.15,129.0,0,0
SENSEX,2024-08-09 00:00:00,10 10,40,171.1,157.7,0,0,186.45,186.4,0,0
SENSEX,2024-05-17 00:00:00,10 10,40,216.3,-173.0,2,1,239.25,239.2,0,0
SENSEX,2024-04-05 00:00:00,10 10,40,151.8,-57.6,1,1,206.75,206.7,0,0
SENSEX,2024-04-19 00:00:00,10 10,40,263.1,-105.2,1,0,270.2,270.2,0,0
SENSEX,2024-07-05 00:00:00,10 10,40,134.15,-107.3,2,1,109.2,109.0,0,0
SENSEX,2023-11-24 00:00:00,10 10,40,98.5,98.4,0,0,59.55,-47.6,2,1
SENSEX,2024-06-28 00:00:00,10 10,40,204.1,204.0,0,0,190.6,-152.5,2,1
SENSEX,2024-05-03 00:00:00,10 10,40,204.05,203.9,0,0,317.4,-127.0,1,0
